Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
ANDERSSON Rolf,"1959, 1961-1962",5,0,0,0
BENGTSSON Åke,1959-1962,30,1,5,0
CARLSTEDT Jan,1959-1960,19,4,9,2
DAHLBERG Lennart,"1959-1963, 1967-1968",124,0,61,0
RYBERG Sture,1959,1,0,0,0
SVENSSON Göte,1959,2,0,0,0
WIKSTRÖM Bengt,1959,3,0,0,0
BERG Kent,1960,1,0,0,0
DANIELSSON Lennart,1960,1,0,0,0
DUBAR Tord,1960,1,0,0,0
GUSTAVSSON Åke,1960-1963,91,1,46,0
HULTIN Bertil,1960-1961,5,4,0,0
KNUTSSON Arne,1960-1962,48,15,16,2
LINDBERG Gunro,1960-1967,259,0,135,0
PETTERSSON Ronald,1960-1961,26,20,13,4
SVENSSON Ingvar,1960-1968,266,72,147,27
ÖBERG Ralph,"1960, 1967",2,1,0,0
BJÖRKLUND Bill,1961,13,2,0,0
BÖRJESSON Åke,1961,12,9,0,0
DANIELSSON Sven,"1961-1962, 1964",8,1,2,0
EKLÖF Rolf,1961-1963,84,63,42,18
GUSTAFSSON Stig,1961,8,0,0,0
JOHANSSON Roy,1961-1963,16,0,12,0
KARLSSON Kenny,1961-1965,59,0,23,0
LEJON Kent,1961,1,0,0,0
LIND Rune,1961,8,0,0,0
MARTINSSON Örjan,1961,11,16,0,0
OLSSON Styrbjörn,1961-1963,4,2,0,0
PERSSON Gösta,1961,12,3,0,0
ANDERSSON Dick,1962-1965,54,11,18,2
BRODD Yngve,1962-1965,78,22,46,11
JANSSON Per-Åke,1962-1963,18,2,4,0
JOHANSSON Paul,1962-1967,150,4,80,2
MELLBIN Kent,1962,1,0,0,0
OHLSSON Bertil,1962,2,1,0,0
PERSSON Leif,1962,1,2,0,0
PETERSSON Jan-Erik,1962,2,0,0,0
WERNER Lars,1962,4,0,0,0
ÖSTGREN Rolf,1962,4,2,2,0
ALBINSSON Leif,1963,1,0,0,0
BERGSTRÖM Ralph,1963-1967,18,3,2,0
HAFSTRAND Jan,1963-1966,12,0,5,0
NICKLASSON Göran,1963-1972,266,73,120,28
SANDBERG Roland,1963-1964,16,2,4,0
SVENSSON Leif,1963,3,0,0,0
SVENSSON Mats,1963-1964,23,3,10,0
WALLIN Lennart,"1963-1969, 1974",206,32,120,18
ÅBERG Jan,1963-1964,4,0,0,0
BENGTSSON Sture,1964,2,0,0,0
ERIKSSON Björn,1964-1976,442,82,129,20
ERIKSSON Per-Erik,"1964-1968, 1973-1975",138,81,31,9
GRANBOM Krister,1964-1966,62,32,27,9
KESSANDER Keit,1964-1965,4,0,0,0
NYSTRÖM Kenneth,1964,1,0,0,0
PETERSSON Rolf,1964-1970,92,0,38,0
SJÖBERG Kjell,1964,1,0,0,0
SJÖSTRÖM Jan,1964-1968,33,13,9,1
WENDT Leif,1964,3,2,0,0
CARLSSON Jan,1965,1,1,0,0
CLAESSON Leif,1965-1967,41,28,21,14
FELDT Reine,1965-1975,351,5,107,1
FERM Gunnar,1965,2,0,0,0
GRUNDÉN Sune,1965,1,0,0,0
JOHANSSON Jan-Olof,1965,2,0,0,0
LEISGÅRD Kjell-Åke,1965-1972,241,20,101,3
SVENSSON Harry,1965-1971,194,37,83,15
AHLBERG Lars-Erik,1966,1,0,0,0
AHLBERG Lars-Gunnar,1966-1967,7,2,0,0
BERGLUND Olof,1966,1,0,0,0
EKLUND Håkan,1966-1970,174,89,98,32
LARSSON Bengt,1966,1,0,0,0
LARSSON Karl-Henrik,1966-1969,30,7,9,2
